영상제목,유튜버,카테고리
The살롱 쫀거니..? #김어준 #겸손은힘들다 #뉴스공장, 김어준의 겸손은힘들다 뉴스공장 ,게임
[단독]“만취 여성 데려가 성폭행”…전화 속엔 ‘불법촬영물’ | 뉴스A, 채널A 뉴스 ,게임
[톺뉴스] 악플 달면 포털 프로필에 공개된다? #shorts, 연합뉴스 Yonhapnews ,게임
"한동훈 “김경율 사퇴, 들은 바 없다”…마포을 전략공천 가시화 | 뉴스A", 채널A 뉴스 ,게임
[오늘 이 뉴스] '항명' 이어 '국방장관 명예훼손' 박 대령 구속하려 찾아낸 이유가..(2023.08.31/MBC뉴스), MBCNEWS ,게임
"[오늘 이 뉴스] ""한동훈 장관, 도발을 많이 했잖아요. 믿는 게 있나보다 했는데.."" (2023.09.27/MBC뉴스)", MBCNEWS ,게임
"[톺뉴스] 목숨까지 위협하는 낙뢰, '30-30 규칙' 기억해야 #shorts", 연합뉴스 Yonhapnews ,게임
"[자막뉴스] 뭔가 이상한 주차 위반 통지서 ""장난치는 건가 싶기도 하고"" / KBS 2023.12.14.", KBS News ,게임
"[뉴스 '꾹'] ""띵했죠! 갑자기 딸이 전무님에게"" '귀여워서' 뒤집어진 직원들 (2023.06.27/MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 지금 뭐 하는 거지?...CCTV에 찍힌 간호사의 충격적 행동 / YTN,  YTN ,게임
"尹-한동훈 충돌 배경 지목된 ""마리 앙투아네트"" 뭐였길래.. [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"[자막뉴스] 아이 눈 가리고 ""촉감놀이하자""…화장실서 관장이 벌인 엽기 행각에 '경악' / JTBC News", JTBC News ,게임
"'흉기 피습' 이재명, 일반 병실로 옮겨..""열상 아닌 1.4cm 자상"" - [LIVE] MBC 뉴스데스크 2024년 01월 03일", MBCNEWS ,게임
"[자막뉴스] ""헛것인가?"" 블랙박스 보고 '기겁'..'방음터널 위 여성' 정체 밝혀졌다 (2023.06.13/MBC뉴스)", MBCNEWS ,게임
"""13개 언어 AI 동시통역""…삼성 '갤럭시 S24' 발표 / SBS", SBS 뉴스 ,게임
"[TV CHOSUN LIVE] 1월 12일 (금) 뉴스 9 - 美·英 연합군, 예멘 전격 공습", 뉴스TVCHOSUN ,게임
"[자막뉴스] 고객의 폭행 피해에도 본사는 '모르쇠', 취재 시작된 뒤에야... / YTN",  YTN ,게임
"[자막뉴스] ""초병, 진짜로 방아쇠 당겼다"" 민통선 난입 저지에 '포상휴가' (2023.06.26/MBC뉴스)", MBCNEWS ,게임
이례적인 일 벌어진 러시아...푸틴에 도전장 낸 '반전 인물' [지금이뉴스] / YTN,  YTN ,게임
강릉 길거리로 '우르르'…'집단 몸싸움' 유학생 사망 / SBS 8뉴스, SBS 뉴스 ,게임
"""눈 하얗게 변하더니…"" 중국, 치사율 100% 변종 코로나 개발 (자막뉴스) / SBS", SBS 뉴스 ,게임
웬만하면 국산 먹겠는데…미국산 계란 불티난 이유는? / SBS / 모아보는 뉴스, SBS 뉴스 ,게임
"삼성 · SK 이어 포스코까지…""밀린 집안일 충분히 가능"" / SBS 8뉴스", SBS 뉴스 ,게임
"[자막뉴스] ""에이~ 잔돈 됐어요"" ""허허"" 고마웠던 승객 내린 뒤 '헉!' (MBC뉴스)", MBCNEWS ,게임
"[이슈] 북한, 사흘째 서해 인근 포 사격/긴장 높이는 의도는?…김여정 ""한국군, 폭약 소리에 속아"" 주장/2024년 1월 7일(일)/KBS", KBS News ,게임
[자막뉴스] 입대한 제가 죄인인가요?...20대 남성 분노한 법안 / YTN,  YTN ,게임
"[자막뉴스] '대설주의보' 제주도·서해안, 예상 적설량만 무려... / YTN",  YTN ,게임
"[오늘 이 뉴스] 신평도 한동훈 '자진사퇴' 요구 ""혀 끌끌..환상에 완전 젖었다"" (2024.01.22/MBC뉴스)", MBCNEWS ,게임
"[오늘 이 뉴스] ""진술거부권 행사 없이 정면돌파"" 군검찰 나온 박 대령의 '직진' (2023.09.05/MBC뉴스)", MBCNEWS ,게임
"뉴스에서 공 맞고 흑역사 만든 그녀, 담당 기자와 5년만의 통화 | MEME INSIDE", Pixid ,게임
"[오늘 이 뉴스] 방학동 화재로 숨진 30대 아버지, 윗층서 아기 안고 뛰어내렸다.. (2023.12.25/MBC뉴스)", MBCNEWS ,게임
"[오늘 이 뉴스] ""총선 끝나면 해코지할 텐데.. 한동훈 무조건 '36계'가 답"" (2024.01.23/MBC뉴스)", MBCNEWS ,게임
[단독]성형수술받다 20대 중국인 숨져…재수술 받으려다 사망 | 뉴스A, 채널A 뉴스 ,게임
[자막뉴스] '한 달 밥값'이라더니...공개된 체납액에 '깜짝' / YTN,  YTN ,게임
"""엄마, 미안해. 잘 가야 해""…가수 현미 눈물의 영결식 / 연합뉴스 (Yonhapnews)", 연합뉴스 Yonhapnews ,게임
중국 여행 갈 때 주의하세요…공무원 부부 '징역형' / SBS 8뉴스, SBS 뉴스 ,게임
[자막뉴스] '소름이 쫙' 당신도 당했다...최근 무더기 확산 중인 현상 / YTN,  YTN ,게임
[더뉴스] 수능 D-1...5수생 인터넷방송 크리에이터의 조언 / YTN,  YTN ,게임
10분 만에 온몸 뒤덮었다…현재 난리난 서울 상황 #JTBC #상암동클라스 #Shorts, JTBC News ,게임
[자막뉴스] 현대차 곧 '세계 1위'...중국 부진이 '대반전' 될 줄이야 / YTN,  YTN ,게임
[연합뉴스TV 스페셜] 276회 : 늘어나는 1인 가구 절반은 '빈곤층' / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"[톺뉴스] 텀블러 열풍, 환경에는 글쎄… #shorts", 연합뉴스 Yonhapnews ,게임
['엠빅' 이슈] '내일' 문닫는 대치동 그 분식집찾아갔다가 만난 사람이? (2024.01.05/엠빅뉴스), MBCNEWS ,게임
생존율 높은데 '치료 포기' 속출…사망자 계속 늘어나는 이유 (자막뉴스) / SBS, SBS 뉴스 ,게임
[단독]“만취 여성 데려가 성폭행”…전화 속엔 ‘불법촬영물’ | 뉴스A, 채널A 뉴스 ,게임
"[🔴속보] 합참 ""북, 평양 일대서 동해 상으로 중거리 미사일 발사"" / YTN",  YTN ,게임
[날씨] 내일 전국 비·눈…도로 살얼음·빙판길 주의 / SBS 8뉴스, SBS 뉴스 ,게임
"[오늘 이 뉴스] '파리 술자리'에 정치권 발칵  ""재벌이 술상무"" ""감사의 뜻"" (2023.12.15/MBC뉴스)", MBCNEWS ,게임
"[뉴스 '꾹'] '대체복무' 송민호 장발 논란.. ""훈련소 갔던 거 아니었어?"" (2023.05.30/MBC뉴스)", MBCNEWS ,게임
[다시보기] 민주당 ‘5대 범죄’ 컷오프에…韓 “굉장히 정교하게 만들어” │ 2024년 1월 25일 뉴스A 라이브, 채널A 뉴스 ,게임
"[자막뉴스] 유튜브 보고 시작한 부업, 초반엔 수익 있다가…어느 날 청천벽력 같은 일이 / JTBC News", JTBC News ,게임
"민주당 이재명 대표 구속영장 기각, 잠시 뒤 석방...검찰 수사 정당성 타격 불가피 - [끝까지LIVE] MBC뉴스 2023년 09월 26일", MBCNEWS ,게임
[자막뉴스] 지금 뭐 하는 거지?...CCTV에 찍힌 간호사의 충격적 행동 / YTN,  YTN ,게임
모닝와이드｜1/22(월) - 서울 아침 영하 10도…이번 주 내내 강추위 / SBS, SBS 뉴스 ,게임
"[단독] 강남 성형외과에 '분통'…""근육 썩고 사경 헤맸다"" / SBS 8뉴스", SBS 뉴스 ,게임
[자막뉴스] 손이 몸에서 떨어지질 않아…유명 물리치료사의 '수상한 터치' / JTBC News, JTBC News ,게임
"첫 바닷물 분석‥""삼중수소 기준치 이하"" - [LIVE] MBC 뉴스데스크 2023년 08월 25일", MBCNEWS ,게임
"""한국, 돈 안 돼요"" 사라진 '큰손'들…코로나 끝나도 안 온다 / SBS 8뉴스", SBS 뉴스 ,게임
"[오늘 이 뉴스] ""김여사는 피해자"" 이철규 발끈 ""국민 우려? 잘 모르시기 때문"" (2024.01.22/MBC뉴스)", MBCNEWS ,게임
겨울청소년올림픽 기간 '가짜 석유' 집중 점검 #Shorts (MBC뉴스), MBCNEWS ,게임
"[자막뉴스] 美 ""김정은, 심각한 행동"" ...유엔도 ""한반도 상황 우려"" / YTN",  YTN ,게임
"[자막뉴스] ""낳을 엄두가 안 나요""...착잡한 대한민국 부모들 / YTN",  YTN ,게임
韓에 사퇴 요구…나경원·이준석·김기현과 다르다? | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
"""퇴사까지 고민했다""…분노 부른 구내식당 메뉴 / SBS / 뉴스딱", SBS 뉴스 ,게임
"[자막뉴스] ""나는 내릴 수가 없어요!"" 하반신 마비 남성 머리채 잡고 끌고 간 경찰 / JTBC News", JTBC News ,게임
동네 빵집 사장님도 중대재해처벌법 대상? 노동부 장관 주장 따져보니 / JTBC 뉴스룸, JTBC News ,게임
MBN 뉴스7 [다시보기] 윤-한 서천 화재현장 전격 동행…90도 인사에 어깨 '툭' - 2024.1.23 방송, MBN News ,게임
"""지금 방학이라 올 건데""…앵커도 그만 울어버린 순간 #뉴스다 / JTBC News", JTBC News ,게임
초등 교사 2명 또 비극‥추모 발길 이어져 - [LIVE] MBC 뉴스데스크 2023년 09월 02일, MBCNEWS ,게임
"민주당, ‘李 피습 실언 논란’ 김한규에 “엄중 경고” | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
['백토' 이 뉴스] '아.. 이런 토론도 가능하구나!' 손석희가 떠올린 최고의 순간 (2023.04.12/MBC뉴스), MBCNEWS ,게임
"직접 만든 '지진급 파괴력'…중국, 올해 특히 더 '긴장' / SBS 8뉴스", SBS 뉴스 ,게임
[다시보기] 민주당 이재명 대표 부대 청룡어린이집 방문...군 공약 관련 대변인 질의응답-1월 24일 (수) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
이재명 직접 출석‥쟁점은 '증거인멸' 가능성 - [LIVE] MBC 뉴스데스크 2023년 09월 25일, MBCNEWS ,게임
"'구속 갈림길' 이재명, 지팡이 짚고 영장실질심사 출석 - [LIVE] MBC 뉴스데스크 2023년 09월 26일", MBCNEWS ,게임
"[뉴스특보] 대한민국 심장부, 서울·수도권 직격하는 카눈.. 이 시각 태풍 및 피해 상황 / 비디오머그", 비디오머그 - VIDEOMUG ,게임
"[LIVE]  ""‘개혁신당’이 ‘한국의희망’"" 이준석·양향자 합당 선언…공동 기자회견 생중계/2024년 1월 24일(수)/KBS", KBS News ,게임
[현장영상] “추워도 너무 춥다”…영화 ‘투모로우’ 실사판 추위에 89명 사망 / KBS 2024.01.22., KBS News ,게임
[자막뉴스] 中·러 믿다가 직격탄...비명 지르는 독일 국민들 / YTN,  YTN ,게임
"[자막뉴스] ""이러다 '나치' 부활할 것""...독일이 발칵 뒤집혔다 / YTN",  YTN ,게임
울먹하더니 결국 눈물…'노마스크' 김정은 현철해 빈소 조문 / 연합뉴스 (Yonhapnews), 연합뉴스 Yonhapnews ,게임
"“편안함에 이르길”, 빈소에 동료들 조문 행렬 - [속보] MBC뉴스 2023년 12월 28일", MBCNEWS ,게임
사과 요구에만 반년‥베트남에서 한국까지 #Shorts (MBC뉴스), MBCNEWS ,게임
MZ세대 '손노동'에 빠졌다 / SBS / 모아보는뉴스, SBS 뉴스 ,게임
[이슈] 코앞에 다가온 '저성장-고물가' 시대…'L자형 저성장' 대비책은?/기부도 발목 잡은 '고물가'/2024년 1월 3일(수)/KBS, KBS News ,게임
"[속보] 태풍 '카눈' 내륙 관통..대구 1명 사망·1명 실종, 전국 곳곳 피해 잇따라/ 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
외국어 잘 모르는 한국외대의 자랑 | 킹받는 뉴스쇼 EP.9 조나단 편, 스튜디오헤이 StudioHey ,게임
‘위증 피고인’ 김 씨 “이재명 퇴정 시켜달라” | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
"[다시보기] ‘尹과 갈등’에도…한동훈, 정면돌파 전략? │ 2024년 1월 23일 뉴스A 라이브", 채널A 뉴스 ,게임
월요일 '공교육 멈춤의 날'…집단 행동 자제 촉구한 정부 外 9/3(일) / SBS 8뉴스, SBS 뉴스 ,게임
"""일 커진다"" 두려운 미국…곳곳 심상치 않은 움직임 / SBS / 모아보는 뉴스", SBS 뉴스 ,게임
"""기기 문제도 내 책임"" 전동킥보드 사고 #Shorts (MBC뉴스)", MBCNEWS ,게임
[날씨] 아침 기온 '뚝'…내일 전국 대부분 눈 · 비 / SBS, SBS 뉴스 ,게임
[MBN 뉴스와이드] 24년 몸담은 민주당 떠난 이낙연…무엇 때문에?, MBN News ,게임
[다시보기] 뉴스룸｜용산 '사퇴 요구'에 한동훈 공개 맞대응…'김건희 리스크'에 여권 분열? (24.1.22) / JTBC News, JTBC News ,게임
"[자막뉴스] ""농구하다 처음 봐..충격적""미국도 주목한 'K-자유투' (MBC뉴스)", MBCNEWS ,게임
"뉴스에서 만난 CNN 앵커 동생과 뉴욕 주지사 형, “형 엄마가 집에 전화 좀 하래;;”｜크랩", 크랩 KLAB ,게임
"전쟁 끌려간 병사 아내들 ""남편 내놔라""…개전 이래 최대 시위도 / 연합뉴스 (Yonhapnews)", 연합뉴스 Yonhapnews ,게임
"[속보] ""이재명 대표 의식 회복""…수술 경과 브리핑/이 시각 서울대병원 응급의료센터 앞/2024년 1월 2일(화)/KBS", KBS News ,게임
이번 주 李 재판 스케줄…주 3회 현실화 | 뉴스A 라이브, 채널A 뉴스 ,게임
"[자막뉴스] 초강대국, 지옥의 미사일 폭풍...대규모 무기마저 비웃는 후티 반군",  YTN ,게임
[자막뉴스] 한국인들 사이 속출하는 사례...日 공항서 무슨 일이 / YTN,  YTN ,게임
[뉴스라이더] 채무조정 신청 2004년 이후 최대...원인은 고용불안? / YTN,  YTN ,게임
북한 발사체 낙하지점에 나타난 '중국 군함' / 1분핫뉴스 / SBS / #shorts, SBS 뉴스 ,게임
이재명 흉기 피습 사건..부산경찰청 수사결과 브리핑 - [끝까지LIVE] MBC뉴스 2024년 1월 10일, MBCNEWS ,게임
"[다시보기] 검찰 “9월 4일 출석 요구” vs 민주 “이재명, 9월 셋째 주 출석” │ 2023년 8월 30일 뉴스A 라이브", 채널A 뉴스 ,게임
눈물 바다 된 추모제‥검은 옷 입은 교사들 추모 행렬 - [LIVE] MBC 뉴스데스크 2023년 09월 04일, MBCNEWS ,게임
[다시보기] 광복절 경축사에서…尹 “반국가세력 여전히 활개쳐” | 2023년 8월 15일 뉴스A 라이브, 채널A 뉴스 ,게임
[뉴스특보] 제6호 태풍 카눈 한반도 상륙.. 현재 경남 통영 근처에서 북상중 (이 시각 태풍 상황) / 비디오머그, 비디오머그 - VIDEOMUG ,게임
"영장 기각 후 이재명, ""영수회담 응하라""...""뜬금없는 떼쓰기"" - [LIVE] MBC 뉴스데스크 2023년 09월 29일", MBCNEWS ,게임
전국 ‘태풍특보’‥정오 무렵 대구 거쳐 내륙 북상 - [LIVE] MBC 뉴스특보 2023년 08월 10일, MBCNEWS ,게임
"[자막뉴스] ""담배는 밖에서 좀"" 부탁한 딸을 맥주병으로 '퍽'..경악한 엄마 (2023.12.26/MBC뉴스)", MBCNEWS ,게임
[다시보기] 이재명표 ‘반반 단식’ 두고 정치권 설왕설래│2023년 9월 4일 뉴스A 라이브, 채널A 뉴스 ,게임
💸저정도 금액도 뉴스에 나와요..?💸 무한상사의 우당탕탕 한 해 마무리 ୧(-᷅‎ہ-᷄)୨ ★내맘대로 십분순삭★ | 무한도전⏱오분순삭, 오분순삭 ,게임
이선희 노래에 현송월 짜증 “그것도 못 하나?” | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
자랑하듯 공개한 '북한 일상' 틱톡…전 세계 2천만 명이 본 반응은? (현장영상) / SBS, SBS 뉴스 ,게임
"[이슈] '영장기각' 이재명 추석 인사 ""무능한 정권에 맞서겠다""..국민의힘 ""기각은 죄 없다는 것 아니야, 사퇴해야""/2023년 9월 29일(금)/KBS", KBS News ,게임
"[뉴스특보] 대한민국 심장부, 서울·수도권 직격 카눈.. 경기 북부 지나 북상중 / SBS", SBS 뉴스 ,게임
"""밑 빠진 독에 물 부을 줄 몰랐다""…급상승 대출 금리에 스트레스!! / SBS / 박병일의 후스토리", SBS 뉴스 ,게임
"""일요일도 문 연다""‥""노동환경 악화 우려"" #Shorts (MBC뉴스)", MBCNEWS ,게임
하나둘 사라진 '에그드랍 매장'…드러난 갑질 (자막뉴스) / SBS, SBS 뉴스 ,게임
"미, '6세대 전투기 개발' 공식 발표…세계 최강 전투기 바뀌나 / 연합뉴스 (Yonhapnews)", 연합뉴스 Yonhapnews ,게임
"""대통령도 밀어준다"" ""40억원부터 물어내라"" 강서구청장 보궐선거에 여야 '총선 전초전'..집권여당 안정 vs 尹 정권 심판 - [핫이슈PLAY] MBC뉴스 2023년 10월 3일", MBCNEWS ,게임
"어디까지 치솟을지..""이런 가을은 처음"", 차례상도 추석선물도 어쩌나 - [핫이슈PLAY] MBC뉴스 2023년 9월 28일", MBCNEWS ,게임
‘탕후루 옆 탕후루’ 유튜버 향해 살인예고글 | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
태풍 '카눈' 한반도 수직관통‥강한 비바람에 피해 속출 - [LIVE] MBC 뉴스데스크 2023년 08월 10일, MBCNEWS ,게임
"[이슈] 파키스탄, 이란에 보복 공습…중국 ""긴장 완화 위해 노력""/미국-후티 또다시 무력공방…홍해 위기 고조/2024년 1월 18일(목)/KBS", KBS News ,게임
[이슈] 화재 현장 방문에 열차 동반 상경까지/윤-한 '사퇴 갈등' 봉합 수순 또는 일시 진화? /2024년 1월 23일(화)/KBS, KBS News ,게임
"11/28(화) 하태경, 종로 출사표에 갑론을박 / 인요한, 이준석에 사과 / 월드엑스포 유치 '운명의 밤' / 편상욱의 뉴스브리핑 / SBS", SBS 뉴스 ,게임
[인터뷰｜SUB] 발성만 했을 뿐인데 앵커 '화들짝'! 스튜디오에 울려 퍼진 '천상의 목소리' / JTBC 뉴스룸, JTBC News ,게임
"폭염, 폭우, 쓰나미까지..기후 위기 아닌 '인류 위기' (이슈라이브) / SBS", SBS 뉴스 ,게임
20대 대통령 뽑았었어?? [짧뉴] 백운기 #짧은뉴스, 짧은뉴스 ,게임
"[이슈] 9월 KF-16 추락 원인은?…공군, 사고 조사 결과 발표/오늘 미군 F-16도 서해 추락…조종사 비상 탈출 뒤 구조/2023년 12월 11일(월)/KBS", KBS News ,게임
"“야, 나 6학년이거든?ㅋ” 나이 공격하는 13살 버논과 정색 Baby 10살 이강인🔥긴장감 ZERO 축구 대결 풀버전 / 스브스뉴스", 스브스뉴스 SUBUSUNEWS ,게임
"""이재명을 넘어 민주주의 지켜달라""‥ 민주당 ""이 대표 사퇴 없다"" - [LIVE] MBC 뉴스데스크 2023년 09월 22일", MBCNEWS ,게임
"[이슈] 이재명 제안‘영수회담’ 대체 뭐길래? 국민의힘 “엉뚱한 말씀, 얄팍한 꼼수”·민주당 “민생 살려야/2023년 10월 2일(월)/KBS", KBS News ,게임
[다시보기] 행안위 전체회의...'이재명 피습' 현안질의-1월 25일 (목) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
2023 제야의 종 타종행사..이 시각 보신각 - [끝까지LIVE] MBC뉴스 2023년 12월 31일, MBCNEWS ,게임
"""사업 망하면 연쇄적으로…"" 땅부터 빚으로 시작된다 / SBS 8뉴스", SBS 뉴스 ,게임
[자막뉴스] 한국이 몽골에 심은 나무...15년 지나자 '놀라운 변화' / YTN,  YTN ,게임
"[자막뉴스] '못 버티겠다'...바싹 마른 돈줄에 서민들, 결국 / YTN",  YTN ,게임
"[뉴스특보] 태풍 카눈, 한반도 관통 후 소멸.. 강원 '극한 호우' 물폭탄에 '지붕 폭삭' 전국 피해 속출 / SBS", SBS 뉴스 ,게임
"[임영웅 KBS 뉴스9 인터뷰 풀영상] 임영웅의 음악, 축구, 그리고 꿈 이야기 ""팬클럽 영웅시대는 나에게…""/[라이브] 2023년 6월 2일(금)/KBS", KBS News ,게임
"""대통령도 밀어준다"" ""尹 정권 심판"",'강서구'에 사활 건 여야..추석 민심은? - [핫이슈PLAY] MBC뉴스 2023년 9월 29일", MBCNEWS ,게임
갑자기 태도 바꾼 중국...사뭇 달라진 기류  / SBS 8뉴스, SBS 뉴스 ,게임
"[이슈] ""올 것이 왔다""…여름 휴가 만족도 조사에서 제주 '7년간 1위→4위' 추락/'고물가·바가지' 논란…1위는 부산/2023년 10월 21일(토)/KBS", KBS News ,게임
"[뉴스특보] 제6호 태풍 카눈, 현재 충청 지역 지나 서울-수도권 방향 북상 중...태풍 오른쪽 영동 지역 장대비 (이 시각 태풍 상황) / SBS", SBS 뉴스 ,게임
News (뉴스 (NEWS)), 9MUSES 나인뮤지스 ,게임
진압봉 휘두르는 '법치'..'피 흘리는 민주주의' 반발 [뉴스.zip/MBC뉴스], MBCNEWS ,게임
"'김여사' 질문에 말 아낀 한동훈..봉합? 휴전?, ""여당 뒤흔든 디올백"" 외신도 주목 - [핫이슈PLAY] MBC뉴스 2024년 1월 24일", MBCNEWS ,게임
"""제 몸무게를 왜요?"" 비행기 타려다 '화들짝'", SBS 뉴스 ,게임
[자막뉴스] 생일파티서 총 갖고 놀다 사촌 머리에 '탕'…6천여명이 생중계로 봤다 / JTBC News, JTBC News ,게임
"[다시보기] 뉴스룸｜총선 앞두고 수도권 교통망 134조원 투입…국민의힘 배현진, 괴한에 피습당해 병원 후송 (24.1.25) / JTBC News", JTBC News ,게임
강아지와 산책하다 말고 '응급 성형수술' #shorts, SBS 뉴스 ,게임
"[날씨]중부·경북 한파특보…호남 낮까지, 제주 내일까지 눈 | 뉴스A 라이브", 채널A 뉴스 ,게임
[다시보기] 뉴스룸｜용산 '사퇴 요구'에 한동훈 공개 맞대응…'김건희 리스크'에 여권 분열? (24.1.22) / JTBC News, JTBC News ,게임
"""엄마가 꼭 밝혀낼게""..딸의 수술실 CCTV 보니 [뉴스.zip / MBC뉴스]", MBCNEWS ,게임
"[오늘 이 뉴스] 신평도 한동훈 '자진사퇴' 요구 ""혀 끌끌..환상에 완전 젖었다"" (2024.01.22/MBC뉴스)", MBCNEWS ,게임
[풀영상] 뉴스광장 : 호남·제주 사흘째 폭설…항공편 결항·동파 잇따라 - 2024년 1월 24일(수) / KBS, KBS News ,게임
[오늘 이 뉴스] 尹 '민생토론회' 참석 30분 전 취소.. 당정 충돌 여파에 '후폭풍' (2024.01.22/MBC뉴스), MBCNEWS ,게임
"[속보] ""서현역 흉기 난동 피해자 2명 뇌사 가능성"" / SBS /1분핫뉴스", SBS 뉴스 ,게임
배현진 국민의힘 의원 피습..서울 시내에서 괴한에 공격당해 - [속보] MBC뉴스 2024년 1월 25일, MBCNEWS ,게임
"""나들목 있었는데""‥손님 태우고 고속도로 37km 역주행 #Shorts (MBC뉴스)", MBCNEWS ,게임
"[속보] 태풍 북상에 결국 ""잼버리 대원들 야영지서 철수""…윤대통령, 긴급 비상 계획 점검/ 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
"로또 1등 당첨자 농협 갔더니…""비밀번호 불러달라"" (2021.05.27/뉴스데스크/MBC)", MBCNEWS ,게임
"""지금 방학이라 올 건데""…앵커도 그만 울어버린 순간 #뉴스다 / JTBC News", JTBC News ,게임
"""골프장이 웬말이냐""..지역 소멸 대책 반발 #Shorts (MBC뉴스)", MBCNEWS ,게임
"[오늘 이 뉴스] 與 배현진 의원 강남서 피습..""둔기 추정 물체에 머리 맞아"" (2024.01.25/MBC뉴스)", MBCNEWS ,게임
"[이슈] '서이초 교사 49재' 9월 4일, 교사 8만명 집단행동 예고...교육부 ""불법"" 갈등 조짐/2023년 8월 26일(토)/KBS", KBS News ,게임
집이야 은행이야…돈더미 끝판왕 정체는 #shorts, 연합뉴스 Yonhapnews ,게임
"[다시보기] 뉴스룸｜윤 대통령-한동훈 비대위원장, 정면충돌 이틀 만에 화재 현장서 '전격 만남' (24.1.23) / JTBC News", JTBC News ,게임
윤 대통령-한동훈 갈등설 후 첫 만남..현장 분위기는? #shorts / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"""충분히 말씀드렸다""‥""정치쇼 말고 특검"" (2024.01.24/12MBC뉴스)", MBCNEWS ,게임
20대 대통령 뽑았었어?? [짧뉴] 백운기 #짧은뉴스, 짧은뉴스 ,게임
[풀영상] 뉴스광장 : 배현진 의원 피습…여야 ‘철저한 수사’ 촉구 - 2024년 1월 26일(금) / KBS, KBS News ,게임
"[뉴스토리] 그때 그 횡령범들, 지금 잘 살까? / SBS", SBS 뉴스 ,게임
"한동훈, 대통령실 사퇴 요구 거절 후 첫 인터뷰  #shorts / 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
"[뉴스 바사삭] 김용남 ""미래권력까지 '단 한 단계' 남은 한동훈, 尹 말 들렸겠냐""┃MBC 240123 방송", MBC 라디오 시사 ,게임
'이재명 대표 피습' 규명 현안 질의 - 국회 행정안전위원회 전체회의 / SBS, SBS 뉴스 ,게임
"[이슈] '대북 송금' 의혹 이재명 검찰 조사 뒤 11시간 만에 귀가 “정치검찰에 연민""/국민의힘 ""민주투사 코스프레""…민주""정치검찰 악행""/2023년 9월 9일(토)/KBS", KBS News ,게임
"한동훈 비대위원장, 대학생 현장 간담회 .. '함께하는 대학생의 미래' 주제", SBS 뉴스 ,게임
원천징수 3.3%의 비밀‥몰라서 당하고 알면서도 당한다 (2021.11.17/뉴스데스크/MBC), MBCNEWS ,게임
"[TV CHOSUN LIVE] 1월 22일 (월) 뉴스 9 - 한동훈 ""선민후사""…사퇴 일축", 뉴스TVCHOSUN ,게임
"[이슈] 북한, 사흘째 서해 인근 포 사격/긴장 높이는 의도는?…김여정 ""한국군, 폭약 소리에 속아"" 주장/2024년 1월 7일(일)/KBS", KBS News ,게임
"[뉴스쏙] 우크라, '18명 사망' 러 공습에 크림반도 정조준…정유시설 폭격 / 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
[오늘 이 뉴스] 尹 '민생토론회' 참석 30분 전 취소.. 당정 충돌 여파에 '후폭풍' (2024.01.22/MBC뉴스), MBCNEWS ,게임
"MBN 뉴스7 [다시보기] 윤석열-한동훈 '정면충돌'…한 ""내 임기는 총선 이후까지"" - 2024.1.22 방송", MBN News ,게임
【24/01/12】🔴[LIVE 뉴스버스]너도 위원장이냐! XX... 아수라장 방심위 무슨 일이?, 뉴스버스 ,게임
[현장] 러시아 극동 연일 폭설…사할린 전역 비상사태/아파트 창문에서 뛰어내리기도?/2024년 1월 25일(목)/KBS, KBS News ,게임
"""숨 막힐 지경""…'지옥철' 겪었던 윤 대통령 결심 (자막뉴스) / SBS", SBS 뉴스 ,게임
"[현장연결] 윤대통령-한동훈, 서천시장 화재 현장 함께 방문 / 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
"[현장영상] '갈등 봉합'에 재난 현장? ""적합했냐"" 묻는 취재진에 쏟아낸 말 / JTBC News", JTBC News ,게임
"[이슈] 오늘도 전국이 영하권 강추위…내일 차차 풀려/""기록적 한파 원인은 지구 가열화""/2024년 1월 25일(목)/KBS", KBS News ,게임
"[LIVE] 이재명 대표 '단식 15일차' 현장(이 시각 당대표실)/민주당 의원들, 의총 후 단체 방문...김기현 ""단식 중단 정중히 요청""/2023년 9월 14일(목)/KBS", KBS News ,게임
"[속보] 프리고진 결국 사망, 모스크바서 비행기 탑승 뒤 '추락사'.. ""러 방공망 요격"" 보도 | 무장반란 두 달 만, 푸틴의 선택이었나?", SBS 뉴스 ,게임
[풀영상] 뉴스9 : 국정원 “공공분야 해킹 80%가 북한발…김정은 진두지휘” – 2024년 1월 24일(수) / KBS2, KBS News ,게임
